en_us	pt_BR
Steal your money, gonna take your life.	Roubarei seu dinheiro, tomarei sua vida.
You got screaming murder, lock up your door.	Você será assassinado gritando, tranque sua porta.
Double dealing, gotta have more.	Duplo acordo, vai ter mais.
Call me dirty, trash my name.	Me chame de nojento, coloque meu nome no lixo.
Just tell the boys that I'm gonna be.	Conte aos garotos que eu estarei.
Back in business again, back in business again.	De volta aos negócios de novo, de volta aos negócios de novo.
Back in business again, back in business again.	De volta aos negócios de novo, de volta aos negócios de novo.
Back in business.	De volta aos negócios.
Flesh and blood, I'm a rag 'n' bone.	Carne e sangue, sou ossos e trapo.
Bad luck message on the telephone.	Mensagem de má sorte no telefone.
Don't you worry, play my game.	Não se preocupe, jogue meu jogo.
I'll do you a favour put your soul for sale.	Faço-lhe um favor em troca da sua alma.
Like a cannon ball going down the track.	Como uma bola de canhão descendo o caminho.
Need good loving, but I want it back.	Preciso de um bom amor, mas eu quero de volta.
I was born in trouble, they gave up on me.	Eu nasci com problema, desistiram de mim.
Teacher preaching what not to be.	O professor prega o que não devemos ser.
Call me dirty, trash my name.	Me chame de nojento, oloque meu nome no lixo.
Just tell the boys that I'm gonna be.	Conte aos garotos que eu estarei.
Back in business again, back in business again.	De volta aos negócios de novo, de volta aos negócios de novo.
Back in business again, back in business again.	De volta aos negócios de novo, de volta aos negócios de novo.
Back in business.	De volta aos negócios.
Back in business again, back in business again.	De volta aos negócios de novo, de volta aos negócios de novo.
Back in business again, back in business again.	De volta aos negócios de novo, de volta aos negócios de novo.
Back in business again, back in business, back in business again.	De volta aos negócios de novo, de volta aos negócios de novo.
Back in business again, back in business, back in business again.	De volta aos negócios de novo, de volta aos negócios de novo.
Back in business again, and I'm looking for you.	De volta aos negócios e estou atrás de você.
Back Seat Confidential	Confidências Do Banco De Trás
Old man's car on a saturday night.	É noite de sábado no carro de um velho homem,.
Got me a woman me i feel alright.	Pegar uma mulher, que faça eu me sentir bem.
Rockin and rollin at the drive in show.	Um show de rock\'n roll no drive-in.
Gonna sit in the back in the passion row.	Vou sentar no banco de trás no caminho da paixão,.
Turn up the soundtrack.	Aumentar o som, desligar a luz.
Turn down the lights.	A oportunidade que ela não vai,.
A chance she won't a chance she might.	Uma oportunidade que ela tem.
Ain't no woman in the world i know.	Não conheço nenhuma mulher no mundo.
Aint had her knickers on the automobile floor.	Que não deixou sua calcinha no chão do carro.
Whats that scoial sound.	Que som é esse?.
Somethings going down.	Alguma coisa está descendo.
Look at what's going around.	Veja o que está rolando em volta.
Back seat confidential.	Confidências do banco de trás.
Said to buy my rubber at the cigarette stand.	Disse pra comprar camisinha na loja de cigarros.
Dying to get it off so i can get it in.	Dando tudo pra cair fora mas eu posso cair dentro.
Doing my best to make a good connection.	Fazendo meu melhor pra rolar química.
She said what you gonna do about my protection.	Ela disse o que você vai fazer agora para eu me proteger?.
Alright momma gotta listen to me.	Tudo bem garota me escute.
Last chance thrill its half past three.	É a última chance de sentir essa emoção, são três e meia.
Huggin and kissin would be real nice.	Se abraçando e se beijando seria bem legal.
Every man's got his price.	Todo homem tem seu preço.
Whats that scoial sound.	Que som é esse?.
Somethings going down.	Alguma coisa está descendo.
Look at what's going around.	Veja o que está rolando em volta.
Back seat confidential.	Confidências do banco de trás.
Old man's car on a saturday night.	É noite de sábado no carro de um velho homem,.
Got me a woman me i feel alright.	Pegar uma mulher, que faça eu me sentir bem.
Rockin and rollin at the drive in show.	Um show de rock\'n roll no drive-in.
Gonna sit in the back in the passion row.	Vou sentar no banco de trás no caminho da paixão,.
Turn up the soundtrack.	Aumentar o som, desligar a luz.
Turn down the lights.	A oportunidade que ela não vai, uma oportunidade que ela tem.
There's a chance she wont but ther's a chance she might.	Não conheço nenhuma mulher no mundo.
Ain't no woman in the world i know.	Que nunca tenha deixado sua.
Aint had her knickers on the backseat floor.	Calcinha no chão do carro.
What's that social sound.	Que som é esse?.
Somethings going down.	Alguma coisa está descendo.
Look at what's going around.	Veja o que está rolando em volta.
Back seat confidential.	Confidências do banco de trás.
Back seat confidential.	Confidências do banco de trás.
Backstreets	Backstreets
One soft infested summer.	Um verão infestado macio.
Me and Terry became friends.	Eu e o Terry tornamo-nos amigos.
Trying in vain to breathe.	Tentando em vão respirar.
The fire we born in.	O fogo em que nascemos.
Catching rides to the outskirts.	Pegando passeios para a periferia.
Tying faith between our teeth.	Amarrando a fé entre nossos dentes.
Sleeping in that old abandoned beach house.	Dormindo naquela velha casa de praia abandonada.
Getting wasted in the heat.	Ficando desperdiçado no calor.
And hiding on the backstreets.	E se escondendo nas ruas de trás.
Hiding on the backstreets.	Escondendo nas ruas de trás.
With a love so hard and filled with defeat.	Com um amor tão duro e cheio de derrota.
Running for our lives at night on them backstreets.	Correndo por nossas vidas à noite nelas backstreets.
Slow dancing in the dark.	Dança lenta no escuro.
On the beach at Stockton's Wing.	Na praia na ala de Stockton.
Where desperate lovers park.	Onde os amantes desesperados estacionam.
We sat with the last of the Duke Street Kings.	Nós nos sentamos com o último dos Duke Street Kings.
Huddled in our cars.	Amontoados em nossos carros.
Waiting for the bells that ring.	Esperando pelos sinos que tocam.
In the deep heart of the night.	No coração profundo da noite.
We let lose of everything.	Nós deixamos perder tudo.
To go running on the backstreets.	Para ir correndo nas ruas de trás.
Running on the backstreets.	Correndo nas ruas secundárias.
Terry you swore we'd live forever.	Terry você jurou que viveríamos para sempre.
Taking it on them backstreets together.	Levando-os sobre as ruas de trás juntas.
Endless juke joints and Valentino drag.	Articulações juke intermináveis ​​e arrastar Valentino.
Where famous dancers scraped the tears.	Onde dançarinos famosos rasparam as lágrimas.
Up off the street dressed down in rags.	Acima da rua vestida de trapos.
Running into the darkness.	Correndo na escuridão.
Some hurt bad some really dying.	Alguns machucam mal alguns realmente morrendo.
At night sometimes it seemed.	À noite, às vezes parecia.
You could hear the whole damn city crying.	Você podia ouvir toda a maldita cidade chorando.
Blame it on the lies that killed us.	A culpa é das mentiras que nos mataram.
Blame it on the truth that ran us down.	A culpa é da verdade que nos derrubou.
You can blame it all on me Terry.	Você pode culpar tudo em mim Terry.
It don't matter to me now.	Não importa para mim agora.
When the breakdown hit at midnight.	Quando o colapso chegar à meia-noite.
There was nothing left to say.	Não havia mais nada a dizer.
But I hated him.	Mas eu odiava ele.
And I hated you when you went away.	E eu te odiei quando você foi embora.
Laying here in the dark.	Deitado aqui no escuro.
You're like an angel on my chest.	Você é como um anjo no meu peito.
Just another tramp of hearts.	Apenas outro vagabundo de corações.
Crying tears of faithlessness.	Chorando lágrimas de incredulidade.
Remember all the movies, Terry.	Lembre-se de todos os filmes, Terry.
We'd go see.	Nós veríamos.
Trying to learn to walk like the heroes.	Tentando aprender a andar como os heróis.
We thought we had to be.	Nós pensamos que tínhamos que ser.
Well after all this time.	Bem, depois de todo esse tempo.
To find we're just like all the rest.	Para descobrir, somos como todo o resto.
Stranded in the park.	Encalhado no parque.
And forced to confess.	E forçado a confessar.
To hiding on the backstreets.	Para se esconder nas ruas secundárias.
Hiding on the backstreets.	Escondendo nas ruas de trás.
Where we swore forever friends.	Onde nós juramos para sempre amigos.
On the backstreets until the end.	Nas ruas de trás até o fim.
Hiding on the backstreets.	Escondendo nas ruas de trás.
Hiding on the backstreets.	Escondendo nas ruas de trás.
Bad Boy Boogie	Mau Garoto Agitador
On the day I was born.	No dia em que nasci.
The rain fell down.	a chuva caía.
There was trouble brewin' in my home town.	Havia problemas na cidade onde moro.
It was the seventh day.	Foi no sétimo dia,.
I was the seventh son.	eu fui o sétimo filho.
And it scared the hell out of everyone.	E assustei o inferno e todo mundo.
They said drop, I said go.	Eles disseram pare, eu disse vai.
They said fast, I said slow.	Eles disseram rápido, eu disse devagar.
They said lost, I said no.	Eles disseram sim, eu disse não.
I do the bad boy boogie.	Eu mostro o mau garoto agitador.
Bein' a bad boy ain't that bad.	Ser um mau garoto não é de todo mau.
I had me more dirty women than most men ever had.	Eu tive mais mulheres sujas do que a maioria dos Homens.
All you women come along with me.	Todas vocês mulheres venham junto comigo.
And I'll show you how good a bad boy can be.	E eu lhes mostrarei o quanto bom um mau garoto pode ser.
I said right and they said left.	Eu disse direita e eles disseram esquerda.
I said east and they said west.	Eu disse leste e eles disseram oeste.
I said up and they said down.	Eu disse pra cima e eles disseram pra baixo.
I do the bad boy boogie.	Eu mostro o mau garoto agitador.
All over town.	para toda a cidade.
I wouldn't tell you no story.	Não quero te contar nenhuma história,.
Tell you no lie.	nenhuma mentira.
I was born to love till the day I die.	Eu nasci para amar até o dia em que eu morrer.
I just line em up.	Preciso colocá-los na linha.
And I knock 'em down.	e derrubá-los.
And they all came a runnin' when the word got around.	E todos eles vieram correndo quando a palavra os convenceu..
Just keep a runnin'.	Apenas mantenha em movimento.
(Bad boy boogie).	(Mau garoto agitador).
I said up.	Eu disse pra cima,.
They said down.	eles disseram pra baixo.
(Bad boy boogie).	(Mau garoto agitador).
They said straight.	Eles disseram em linha reta,.
I said round.	eu disse em círculos.
(Bad boy boogie).	(Mau garoto agitador).
They said lost.	Eles disseram perdido,.
I said found.	eu disse encontrado.
(Bad boy boogie).	(Mau garoto agitador).
I said free.	Eu disse livre,.
And they said bound.	e eles disseram preso.
Bad boy boogie.	Mau garoto agitador.
Do the bad boy boogie.	Mostro o mau garoto agitador.
Bad boy boogie.	Mau garoto agitador.
Bad boy boogie.	Mau garoto agitador.
Badlands	Lugares Ruins
I'm a pistol packin' man.	Eu sou um homem de pistola carregada.
with a gun in my hand.	Com uma arma na minha mão.
lookin' for a woman that'll understand.	Procurando por uma mulher que vai entender.
I like to roll and I like to ride.	Eu gosto de rolos e eu gosto de andar.
I'll stop at nothing never take me alive.	Não vou parar por nada, nunca me levará vivo.
I'm a man with a fast hand.	Eu sou um homem com uma mão rápida.
lovin' on a last stand.	Amando em uma última posição.
outlaw quick draw.	Saque Rápido, fora da lei.
evil talkin' bandit man.	O mal falando, homem bandido.
in the badlands.	Em lugares ruins (ermos).
in the badlands.	Em lugares ruins.
I got a 45 that'll make you fry.	Eu tenho um 45 que vai fazer você fritar.
burn your chassis lassie like the 4th of July.	Gravar o seu chassis lassie como o 04 de Julho.
I ride it hard I ride it high.	Eu monto difícil eu faço isso alto.
make love to you till you reach for the sky.	Fazer amor com você até você alcançar o céu.
I'm a man with a fast hand.	Eu sou um homem com uma mão rápida.
got it on a last stand.	Tenho-a em uma última posição.
outlaw quick draw.	Saque Rápido, fora da lei.
evil talkin' bandit man.	O mal falando, homem bandido.
in the badlands.	Em lugares ruins.
in the badlands.	Em lugares ruins.
in the badlands.	Em lugares ruins.
in the badlands.	Em lugares ruins.
well I'm guilty.	Bem, eu sou culpado.
saddle up my six pack.	Sela o meu pacote de seis.
ain't gonna back track.	Que a pista não vai voltar.
my shooter loaded.	Minha arma carregada.
come on girl I'm gonna give you a thrill.	Vamos lá garota que eu vou te dar uma emoção.
in the badlands.	Em lugares ruins.
in the badlands.	Em lugares ruins.
in the badlands.	Em lugares ruins.
in the badlands.	Em lugares ruins.
in the badlands, looking for a woman.	Em lugares ruins, à procura de uma mulher.
in the badlands, as bad as me.	Em lugares ruins, tão má quanto eu.
in the badlands, gonna take her with me.	Em lugares ruins, vou levá-la comigo.
in the badlands.	Em lugares ruins.
yeah.	Yeah.
Ain't No Fun	Não É Nenhum Divertimento
The following is a true story.	O seguinte é uma história verdadeira.
Only the names have been changed.	Apenas os nomes foram mudados.
To protect the guilty -.	Para proteger o culpado -.
Well I left my job in my home town.	Bem, eu deixei meu trabalho na minha cidade natal.
And I headed for the smoke.	E eu fui para o fumo.
Got a rock 'n' roll band and a fast right hand.	Tenho uma banda de rock 'n' roll e uma mão direita rápido.
Gonna get to the top.	Vou chegar ao topo.
Nothing's gonna stop us, no nothing.	Nada vai nos parar, nada.
So if you've got the money, we've got the sound.	Então, se você tem o dinheiro, temos o som.
You put it up and we'll put it down.	Você coloca-lo e vamos colocá-la.
If you got the dollar, we got the song.	Se você tem o dólar, nós temos a música.
Just wanna boogie woogie all night long.	Só quero boogie woogie a noite toda.
Yeh boogie.	Yeh dança.
I got holes in my shoes.	Eu tenho furos nos meus sapatos.
I got holes in my teeth.	Eu tenho buracos nos meus dentes.
I got holes in my socks.	Eu tenho buracos em minhas meias.
I can't get no sleep.	Eu não consigo dormir.
I'm trying to make a million.	Estou tentando fazer um milhão.
And I got patches on the patches.	E eu tenho manchas nas manchas.
On my old blue jeans.	No meu velho jeans azul.
Well they used to be blue.	Bem que costumava ser azul.
When they used to be new.	Quando eles costumavam ser novo.
When they used to be clean.	Quando eles costumavam ser limpo.
But I've got a Momma who's a hummer.	Mas eu tenho uma mamãe que é um hummer.
[and I've got a mama, who's a hummer].	[e eu tenho uma mãe, que é um hummer].
Who's keeping me alive [[just] keepin' me alive].	Quem está me mantendo vivo [[apenas] me mantendo vivo].
While I'm in the band doing drinking with the boys.	Enquanto eu estou no potável banda fazendo com os meninos.
[while I'm doin' drinkin.	[enquanto eu estou fazendo bebida].
She's working 9 to 5 [with the boys].	Ela está trabalhando 9-5 [com os meninos].
[She] knows her place that woman.	[Ela] sabe seu lugar que a mulher.
Just you wait -.	Basta você esperar -.
One of these days see me driving round town.	Um dia desses me ver dirigindo pela cidade.
In my rock 'n' Rolls Royce with the sun roof down.	Na minha rock 'n' Rolls Royce com o teto solar para baixo.
My bottle of booze.	Minha garrafa de bebida.
No summer time blues.	Não há tempo de blues de verão.
"Shouting out, ""Look at me""."	"Gritando: ""Olhe para mim""."
In my rock 'n' roll voice.	Na voz do meu rock 'n' roll.
Ain't no fun waiting round to be a millionaire.	Não é nenhuma inteiro de diversão esperando ser um milionário.
(repeat).	(repetição).
"""Hey hello Howard, how you doin', my next door."	"""Hey Olá Howard, como você está fazendo, meu vizinho."
"neighbour?""."	"Próximo? ""."
"""Oh yea... Get your fuckin' jumbo jet off my airport""."	"""Ah sim ... Obtenha seu jato de porra do meu jumbo aeroporto""."
All Screwed Up	É tudo asneira
Get ready.	Prepare-se.
You think your kinda tough.	Você acha seu tipo duro.
You're walkin' kinda rough.	Você está andando meio áspero.
When you want any more.	Quando você quer algo mais.
You go fast wo' wo' wo'.	Você vai rápido wo 'wo' wo '.
Things go tough.	As coisas ficam dificeis.
And you strut your stuff.	E você exibe suas coisas.
And I want your thing.	E eu quero a tua coisa.
Then you're out of luck.	Então, você está sem sorte.
Yes you are.	Sim você está.
It's all screwed up.	È tudo asneira.
All screwed up.	Tudo asneira.
It's all screwed up.	È tudo asneira.
All screwed up.	Tudo asneira.
Take you out to kick some butt.	Te levar para chutar alguns traseiros.
Work you over screw you nuts.	Surrar você,te deixar maluco.
And when you can't take no more.	E quando você não puder aguentar mais.
Then she push you out that door.	Então ela te joga pela porta.
And things go hard.	E as coisas ficam dificeis.
Like a dog gone mad.	Como um cachorro fica louco.
She can pack some punch.	Ela pode embalar alguns socos.
Then you're out to lunch, back at one.	Então saímos para almoçar,voltamos á uma (hora).
It's all screwed up.	È tudo asneira.
All screwed up.	Tudo asneira.
It's all screwed up.	È tudo asneira.
All screwed up.	Tudo asneira.
It's all screwed up.	È tudo asneira.
It's all screwed up.	Tudo asneira.
Cant' tell I'm comin'.	Não posso dizer que estou chegando.
All screwed up, yeah.	Tudo asneira,sim.
I said it's all screwed up.	Eu disse que é tudo asneira.
All screwed up, yeah.	Tudo asneira,sim.
Said you're all screwed up.	Disse que é tudo asneira.
All screwed up.	Tudo asneira.
It's all screwed up, yes it is.	È tudo asneira.
All screwed up.	Tudo asneira.
It's all screwed up.	È tudo asneira.
All screwed up.	Tudo asneira.
Screwed up.	Asneira.
It's all screwed up.	È tudo asneira.
It's all screwed up.	È tudo asneira.
Said you think you got some balls.	Disse que você acha que tem alguma coragem.
But you're always out to lunch.	Mas você está sempre em horário de almoço.
It's all screwed up.	È tudo asneira.
It's all screwed up.	È tudo asneira.
It's all screwed up, yes it is.	Tudo asneira,sim,é.
All screwed up.	Tudo asneira.
It's all screwed up, yeah.	È tudo asneira,sim.
Anything Goes	Nada Vai
Got a taste of a rocking band.	Comecei a gostar de uma banda de rock.
Standing there holding out your hand.	Parado lá, segurando sua mão.
Better lock up all your doors.	Melhor trancar todas suas portas.
She's like a spinning dynamo.	Ela é como um dinamo girando.
You're handing out the token prize.	Você está segurando o prêmio conquistado.
Giving you a brand new ride.	Lhe dando uma nova carona.
Oh, there she goes, she goes.	Oh lá vai ela, ela vai, ela vai.
And nobody knows where she goes.	E ninguém sabe onde ela vai.
Banging drums, working out all fast.	Batendo tambores, tocando rápido.
Heavy tune I can play it loud.	Pesados tons, posso tocar  alto.
You know she's blowing away all the others.	Você sabe que ela está saindo com todos os outros.
You're never man enough take it on all night.	Você não é homem suficiente para aguentar a noite inteira.
You better razzle dazzle on that stage.	Melhor você fazer agitar no palco.
Keep on rocking all through the night.	Continar quebrando tudo noite afora.
Oh, there she goes, she goes.	Oh lá vai ela, vai ela,.
And nobody knows where she goes, she goes.	E ninguém sabe onde ela vai, ela vai.
A heavy rocking tune is playing.	Um rock pesado está tocando.
Playing as the night rolls on.	Tocando enquanto a noite rola,.
Sneaking off with the Romeo.	As escondidas com o Romeo.
Where she goes, nobody knows.	Onde ela vai, ninguém sabe.
A heavy rocking tune is playing.	Um rock pesado está tocando.
On a flat screen colour TV.	na TV a cores.
Sneaking over creepy crawly, never give it up.	Se rastejando assustadoramente, jamais desistirei.
To take it out through the night.	de conseguir isto durante a noite.
There she goes she goes and nobody knows.	Lá vai ela, vai ela, e ninguém sabe.
There she goes she goes and nobody knows.	Lá vai ela, vai ela, e ninguém sabe.
Where she goes she goes and nobody knows.	Onde ela for, ela vai, e ninguém sabe.
Where she goes she goes and nobody knows.	Onde ela for, ela vai, e ninguém sabe.
Where she goes she goes.	Onde ela for, ela vai.
Are You Ready	Você Está Preparado
Are you ready.	Você está preparado.
Are you ready.	Você está preparado.
Are you ready.	Você está preparado.
Are you ready.	Você está preparado.
Sweet apple pie.	Doce torta de maçã.
Standing in the street.	Parada na rua.
Hands outta line.	Mãos fora de linha.
Looking for some meat (heat?).	Procurando por alguma carne (calor?).
She take you high.	Ela te anima.
When you feel her sting.	Quando você sente o ferrão dela.
She make you fly.	Ela faz você voar.
And you know you're coming.	E você sabe que você é esperado.
Who all need it - who.	Quem precisa disso tudo - quem.
Who all need it - you.	Quem precisa disso tudo - você.
Who all need it, who all need it (yes you do).	Quem precisa disso tudo, quem precisa disso tudo (sim você precisa).
You all breathe it, we all need it.	Vocês todos respiram isso, todos nós precisamos disto.
Are you ready for a good time.	Você está preparado para um bom momento.
Then get ready for the night line.	Então esteja pronto para a linha noturna.
Are you ready for a good time.	Você está preparado para um bom momento.
Then get ready for the night line.	Então esteja pronto para a linha noturna.
Are you ready for a good time.	Você está preparado para um bom momento.
She making eyes.	Ela paquera.
At everything she meet.	Tudo que encontra por aí.
ain't it a crime.	Isso não é um crime.
When she make you pump heat.	Quando ela faz de você uma bomba de calor.
She make you fly.	Ela faz você voar.
Because that's her thing.	Porque isso é algo dela.
She make you dry.	Ela deixa você seco.
And you know you're broken in.	E você sabe que está quebrado.
Who all need it, who all need it.	Quem precisa disso tudo, quem precisa disso tudo.
(yes you do).	(sim você precisa).
You all breathe it, we all need it.	Vocês todos respiram isso, todos nós precisamos disto.
Are you ready for a good time.	Você está preparado para um bom momento.
Then get ready for the night line.	Então esteja pronto para a linha noturna.
Are you ready for a good time.	Você está preparado para um bom momento.
Then get ready for the night line.	Então esteja pronto para a linha noturna.
Are you ready for a good time.	Você está preparado para um bom momento.
Get with it.	Aprenda com isso.
Who all need it, who all need it.	Quem precisa disso tudo, quem precisa disso tudo.
You all breathe it, we all breathe it.	Vocês todos respiram isso, todos nós respiramos isto.
Are you ready for a good time.	Você está preparado para um bom momento.
Then get ready for the night line.	Então esteja pronto para a linha noturna.
Are you ready for a good time.	Você está preparado para um bom momento.
Are you ready for a good time.	Você está preparado para um bom momento.
Are you ready.	Você esta pronto.
Are you ready for a good time.	Você está preparado para um bom momento.
I want a good time.	Eu quero um bom momento.
Are you ready for a good time.	Você está preparado para um bom momento.
Are you, are you ready.	Você esta, você está pronto.
Are you ready for a good time.	Você está preparado para um bom momento.
Good, good, good, good time.	Bom, bom, bom, bom momento.
Are you ready for a good time.	Você está preparado para um bom momento.
Are you ready, ready, ready.	Você está pronto, pronto, pronto.
Are you ready for a good time.	Você está preparado para um bom momento.
Are you ready for a good time.	Você está preparado para um bom momento.
Beating Around The Bush	Conversa Fiada
Smilin' face and laughin' eyes.	Rostinho sorridente e olhos amorosos.
But ya can't keep on tellin' me all those lies.	Mas você continua me contando tantas mentiras.
How'd you expect me to believe.	Como você pode esperar que eu acredite?.
Honey I ain't that naive.	Querida eu não estou ajoelhado (Querida eu não nasci ontem).
Baby I got my eye on you.	Baby eu dirijo meu olhar a você.
Cause you do all the things I want you to.	Mas você faz todas as coisas que eu quero que você faça.
Stop your cryin' and dry your tears.	Pare com esse choro e enxugue suas lágrimas.
I ain't that wet behind the ears.	Eu não sou um moleque.
You can throw me lefts, you can throw me rights.	Você pode me jogar pra esquerda, e você pode me jogar pra direita.
But where was you last night.	A maneira que adotamos esta noite.
Beatin' around the bush.	Conversa fiada.
Wish I knew what was on your mind.	Gostaria de saber o que se passa na sua cabeça.
Why you bein' so unkind.	Por que você está sendo tão indelicada?.
Remember those nights we spent alone.	Lembre-se daquelas noites que você passou sozinha.
Talkin' on the telephone.	Falando ao telefone.
Thoughts of you goin' through my brain.	Estive pensando em você fazendo sexo comigo.
You told me that you felt the same.	Você me disse que sentia a mesma coisa.
You said that you loved me too.	Você me disse que me amava também (?).
But tell me who was there with you.	Diga-me garota, o que há de errado com você? (?).
I was talkin' birds, and you was talkin' bees.	Eu estou falando com pássaros, e você está falando com abelhas.
And was he down on his knees.	E ele estava de joelhos.
Beatin' around the bush.	Conversa fiada.
You're the meanest woman I've ever known.	Você é a pior mulher que eu já cheguei a conhecer.
Sticks and stones won't break my bones.	Paus e pedras não quebrarão meus ossos.
I know what you're looking for.	Eu sei o que você está procurando.
You've eaten your cake you want some more.	Você comeu seu bolo, você quer mais um pouco.
I'm gonna give you just a one more change.	Eu vou te dar somente mais uma chance.
Try to save our romance.	Tente salvar nosso romance.
I've done everything I'm gonna do.	Eu fiz tudo o que eu vou fazer.
The rest is up to you.	O resto é com você.
And you can chew it up, you can spit it out.	Você pode mastigá-la, e você pode cuspi-la.
